Program ID,Program Name,Fiscal Year,Quarter,Cost Center,Budget Category,Budgeted Amount,Actual Amount,Variance,Variance %,Funding Source,Contract Number,Status
PRG-001,Thunderbolt Sustainment Support,FY2025,Q1,CC-4100,Labor,"$2,500,000 ","$2,350,000 ","$150,000 ",6.00%,DoD Appropriation,FA8615-24-C-0012,On Track
PRG-001,Thunderbolt Sustainment Support,FY2025,Q1,CC-4100,materials,"$1,800,000 ","$1,920,000 ","($120,000)",-6.70%,DoD Appropriation,FA8615-24-C-0012,over budget
PRG-001,Thunderbolt Sustainment Support ,FY2025,Q1,CC-4100,Travel,"$350,000 ","$280,000 ","$70,000 ",20.00%,DoD Appropriation,FA8615-24-C-0012,On Track
PRG-001,Thunderbolt Sustainment Support,FY2025,Q1,CC-4100,Sub-Contracts,"$4,200,000 ","$4,150,000 ","$50,000 ",1.20%, DoD Appropriation,FA8615-24-C-0012,On Track
PRG-001,Thunderbolt Sustainment Support,FY2025,Q2,CC-4100,Labor,"$2,500,000 ","$3,900,000 ","($1,400,000)",-56.00%,DoD Appropriation,FA8615-24-C-0012,Over Budget
PRG-001,Thunderbolt Sustainment Support,FY2025,Q2,CC-4100,Materials,"$1,800,000 ","$1,750,000 ","$50,000 ",2.80%,DoD Appropriation,FA8615-24-C-0012,On Track
PRG-001,Thunderbolt Sustainment Support,FY2025,Q2,CC-4100,travel,"$350,000 ","$580,000 ","($230,000)",-65.70%,DoD Appropriation,FA8615-24-C-0012,Over Budget
PRG-001,Thunderbolt Sustainment Support,FY2025,Q2,CC-4100,Subcontracts,"$4,200,000 ","$5,800,000 ","($1,600,000)",-38.10%,DoD Appropriation,FA8615-24-C-0012,OVER BUDGET
PRG-002, Cyber Defense Initiative,FY2025,Q1,CC-5200,Labor,"$1,200,000 ","$750,000 ","$450,000 ",37.50%,DARPA Grant,W31P4Q-24-C-0088,On Track
PRG-002,Cyber Defense Initiative,FY2025,Q1,CC-5200,Materials,"$400,000 ","$380,000 ","$20,000 ",5.00%,DARPA grant,W31P4Q-24-C-0088,On Track
