PO ID,PO Number,Vendor Name,Vendor ID,Program ID,Program Name,Description,Order Date,Delivery Date,PO Amount,Amount Paid,Amount Remaining,PO Status,Approver Name,Cost Center,Priority,CLIN Number
PO-1001,4500089201,Apex Dynamics Corp,V-2001,PRG-001,Thunderbolt Sustainment Support,Avionics Test Equipment,10/15/2024,01/30/2025,"$1,250,000.00","$1,250,000.00",$0.00,Closed,James Mitchell,CC-4100,High,CLIN-0001
PO-1002,4500089202,Pinnacle Technologies,V-2002,PRG-001,Thunderbolt Sustainment Support,Sensor Array Components,11/1/2024,2/15/2025,"$890,000.00","$890,000.00",$0.00,CLOSED, James Mitchell,CC-4100,High,CLIN-0002
PO-1003,4500089203,Triton Systems ,V-2003,PRG-002,Cyber Defense Initiative,Network Security Modules,11-20-2024,03-01-2025,"$420,000.00","$420,000.00",$0.00,Closed,Sarah Chen,CC-5200,CRITICAL,CLIN-0003
PO-1004,4500089204,Meridian Technologies,V-2004,PRG-003,Satellite Communications Upgrade,Transponder Units,12/01/2024,04/15/2025,"$2,100,000.00","$1,575,000.00","$525,000.00",Partial Delivery,Robert Garcia,CC-3300,High,CLIN-0004
PO-1005,4500089205,Atlas Global IT,V-2005,PRG-004,Logistics Command Platform,Server Infrastructure,01/10/2025,03/20/2025,"$310,000.00","$310,000.00",$0.00,Closed,Maria Thompson,CC-6100,medium,CLIN-0005
PO-1006,4500089206,Falcon-Wright Defense,V-2006,PRG-005,Next-Gen Radar Systems,Signal Processing Boards,1/15/2025,5/30/2025,"$1,850,000.00","$925,000.00","$925,000.00",In Progress,David Park,CC-7200,High,CLIN-0006
PO-1007,4500089207,Orion Systems,V-2007,PRG-005,Next-Gen Radar Systems,RF Module Assemblies,2025-02-01,2025-06-15,"$2,400,000.00","$800,000.00","$1,600,000.00",In Progress,David Park,CC-7200,Critical,CLIN-0007
PO-1008,4500089208,Vertex Holdings,V-2008,PRG-002,Cyber Defense Initiative,Threat Intelligence Platform License,Feb 10 2025,Mar 1 2025,"$180,000.00","$180,000.00",$0.00,closed,Sarah Chen,CC-5200,Medium,CLIN-0008
PO-1009,4500089209,Centurion Inc.,V-2009,PRG-003,Satellite Communications Upgrade,Ground Station Equipment,02/20/2025,07/01/2025,"$3,200,000.00","$960,000.00","$2,240,000.00",In Progress,Robert Garcia,CC-3300,High,CLIN-0009
PO-1010,4500089210,Prism Technologies,V-2010,PRG-004,Logistics Command Platform,Data Analytics Software License,03/01/2025,04/01/2025,"$275,000.00","$275,000.00",$0.00,Closed,Maria Thompson,CC-6100,Medium,CLIN-0010
PO-1011,4500089211,Apex Dynamics Corp.,V-2001,PRG-001,Thunderbolt Sustainment Support,Replacement Actuator Sets,03/15/2025,08/01/2025,"$750,000.00",$0.00,"$750,000.00",Pending Approval,James Mitchell ,CC-4100,High,CLIN-0011
PO-1012,4500089212,Nova Systems of America,V-2011,PRG-005,Next-Gen Radar Systems,Display Processor Units,3/20/2025,9/1/2025,"$1,100,000.00",$0.00,"$1,100,000.00",Approved,David Park,CC-7200,High,CLIN-0012
PO-1013,4500089213,Valiant Systems,V-2012,PRG-003,Satellite Comm Upgrade,Antenna Feed Assemblies,04/01/2025,08/15/2025,"$980,000.00",$0.00,"$980,000.00",Pending Approval,Robert Garcia,CC-3300,Medium,CLIN-0013
PO-1014,4500089214,Sterling & Associates,V-2013,PRG-002,Cyber Defense Initiative,Cybersecurity Assessment Services,4/5/2025,6/30/2025,"$350,000.00","$175,000.00","$175,000.00",in progress,Sarah Chen,CC-5200,High,CLIN-0014
PO-1015,4500089215,Beacon Aerospace,V-2014,PRG-001,Thunderbolt Sustainment Support,Environmental Control System Parts,04/10/2025,07/15/2025,"$560,000.00",$0.00,"$560,000.00",Approved, James Mitchell,CC-4100,Medium,CLIN-0015
PO-1016,4500089216,Summit Aerospace,V-2015,PRG-005,Next-Gen Radar Systems,Power Supply Modules,04/15/2025,09/30/2025,"$1,350,000.00",NULL,"$1,350,000.00",Pending Approval,David Park,CC-7200,high,CLIN-0016
PO-1017,4500089217,Sentinel Missiles & Fire Control,V-2016,PRG-003,Satellite Communications Upgrade,Payload Integration Services,4/20/2025,10/1/2025,"$4,500,000.00",$0.00,"$4,500,000.00",Approved,Robert Garcia,CC-3300,Critical,CLIN-0017
PO-1018,4500089218,Keystone Corporation,V-2017,PRG-004,Logistics Command Platform,Systems Integration Support,04/25/2025,08/30/2025,"$420,000.00",-,"$420,000.00",In Progress,Maria Thompson,CC-6100,Medium,CLIN-0018
PO-1019,4500089219,Spectra Inc,V-2018,PRG-002, Cyber Defense Initiative,Zero Trust Architecture Design,05/01/2025,09/15/2025,"$290,000.00",$0.00,"$290,000.00",Pending Approval,Sarah Chen,CC-5200,High,CLIN-0019
PO-1020,4500089220,Helix Technologies,V-2019,PRG-001,Thunderbolt Sustainment Support,Thermal Management Systems,05/05/2025,10/15/2025,"$680,000.00",$0.00,"$680,000.00",Approved,James Mitchell,CC-4100,Medium,CLIN-0020
PO-1006,4500089206,Falcon-Wright Defense,V-2006,PRG-005,Next-Gen Radar Systems,Signal Processing Boards,1/15/2025,5/30/2025,"$1,850,000.00","$925,000.00","$925,000.00",In Progress,David Park,CC-7200,High,CLIN-0006
